applicant_id,matched_id,confidence,match_type,name_score,address_score,dob_score,tier,is_true_dup
APP000000,APP002865,71.09,FUZZY,78.79,92.31,20.0,AUTO_APPROVE,False
APP000001,APP005277,68.47,FUZZY,85.0,73.24,20.0,AUTO_APPROVE,False
APP000002,APP004232,97.0,EXACT_PHONE,97.3,100.0,100.0,AUTO_REJECT,True
APP000003,APP001884,64.37,FUZZY,100.0,47.89,0.0,AUTO_APPROVE,False
APP000004,APP004526,69.94,FUZZY,61.11,64.62,100.0,AUTO_APPROVE,False
APP000005,APP005909,64.33,FUZZY,100.0,47.76,0.0,AUTO_APPROVE,False
APP000006,APP008067,63.85,FUZZY,100.0,46.15,0.0,AUTO_APPROVE,False
APP000007,APP003591,64.78,FUZZY,69.57,100.0,0.0,AUTO_APPROVE,False
APP000008,APP006623,60.67,FUZZY,68.57,37.93,75.0,AUTO_APPROVE,False
APP000009,APP009166,65.81,FUZZY,68.75,54.79,75.0,AUTO_APPROVE,False
APP000010,APP008696,64.17,FUZZY,100.0,47.22,0.0,AUTO_APPROVE,False
APP000011,APP006299,62.0,FUZZY,100.0,40.0,0.0,AUTO_APPROVE,False
APP000012,APP007022,97.0,EXACT_PHONE,100.0,100.0,75.0,AUTO_REJECT,True
APP000013,APP006728,68.11,FUZZY,100.0,60.38,0.0,AUTO_APPROVE,False
APP000014,APP003516,65.21,FUZZY,100.0,50.7,0.0,AUTO_APPROVE,False
APP000015,APP007232,66.44,FUZZY,100.0,41.46,20.0,AUTO_APPROVE,False
APP000016,APP007141,70.32,FUZZY,100.0,67.74,0.0,AUTO_APPROVE,False
APP000017,APP002213,59.2,FUZZY,75.0,59.02,20.0,AUTO_APPROVE,False
APP000018,APP005400,63.62,FUZZY,66.67,34.29,100.0,AUTO_APPROVE,False
APP000019,APP001770,100.0,EXACT_PAN,95.0,100.0,75.0,AUTO_REJECT,True
APP000020,APP008982,63.75,FUZZY,30.77,94.55,100.0,AUTO_APPROVE,False
APP000021,APP005431,93.0,FUZZY,86.0,100.0,100.0,AUTO_REJECT,True
APP000022,APP002220,63.49,FUZZY,62.5,94.12,20.0,AUTO_APPROVE,False
APP000023,APP000115,60.52,FUZZY,66.67,40.62,75.0,AUTO_APPROVE,False
APP000024,APP002540,63.67,FUZZY,100.0,45.57,0.0,AUTO_APPROVE,False
APP000025,APP009826,71.82,FUZZY,100.0,72.73,0.0,AUTO_APPROVE,False
APP000026,APP001829,62.68,FUZZY,69.77,42.67,75.0,AUTO_APPROVE,False
APP000027,APP003562,67.14,FUZZY,73.33,88.24,20.0,AUTO_APPROVE,False
APP000028,APP003436,63.42,FUZZY,86.96,53.12,20.0,AUTO_APPROVE,False
APP000029,APP000651,66.9,FUZZY,100.0,56.34,0.0,AUTO_APPROVE,False
APP000030,APP006222,52.98,FUZZY,82.35,39.34,0.0,AUTO_APPROVE,False
APP000031,APP001388,62.58,FUZZY,84.85,53.85,20.0,AUTO_APPROVE,False
APP000032,APP006772,97.0,EXACT_PHONE,100.0,100.0,75.0,AUTO_REJECT,True
APP000033,APP002393,56.53,FUZZY,66.67,64.0,20.0,AUTO_APPROVE,False
APP000034,APP002776,63.43,FUZZY,100.0,44.78,0.0,AUTO_APPROVE,False
APP000035,APP001971,60.61,FUZZY,84.85,47.27,20.0,AUTO_APPROVE,False
APP000036,APP002390,60.61,FUZZY,82.76,64.1,0.0,AUTO_APPROVE,False
APP000037,APP001276,60.87,FUZZY,53.33,64.0,75.0,AUTO_APPROVE,False
APP000038,APP001907,63.7,FUZZY,81.25,76.92,0.0,AUTO_APPROVE,False
APP000039,APP006405,64.24,FUZZY,100.0,47.46,0.0,AUTO_APPROVE,False
APP000040,APP003642,63.52,FUZZY,81.08,76.6,0.0,AUTO_APPROVE,False
APP000041,APP008756,52.13,FUZZY,42.11,36.92,100.0,AUTO_APPROVE,False
APP000042,APP001296,100.0,EXACT_PAN,94.44,100.0,90.0,AUTO_REJECT,True
APP000043,APP005788,65.29,FUZZY,100.0,50.98,0.0,AUTO_APPROVE,False
APP000044,APP009509,74.38,FUZZY,63.16,76.0,100.0,AUTO_APPROVE,False
APP000045,APP004079,61.58,FUZZY,63.16,100.0,0.0,AUTO_APPROVE,False
APP000046,APP006531,69.67,FUZZY,100.0,65.57,0.0,AUTO_APPROVE,False
APP000047,APP004851,62.43,FUZZY,81.48,58.97,20.0,AUTO_APPROVE,False
APP000048,APP006083,67.58,FUZZY,85.71,69.09,20.0,AUTO_APPROVE,False
APP000049,APP002623,57.33,FUZZY,58.82,43.08,75.0,AUTO_APPROVE,False
APP000050,APP006079,60.68,FUZZY,100.0,35.62,0.0,AUTO_APPROVE,False
APP000051,APP003505,64.33,FUZZY,100.0,47.76,0.0,AUTO_APPROVE,False
APP000052,APP005501,70.21,FUZZY,80.0,50.7,75.0,AUTO_APPROVE,False
APP000053,APP008658,69.62,FUZZY,100.0,52.05,20.0,AUTO_APPROVE,False
APP000054,APP003631,65.93,FUZZY,66.67,58.67,75.0,AUTO_APPROVE,False
APP000055,APP004853,67.84,FUZZY,100.0,59.46,0.0,AUTO_APPROVE,False
APP000056,APP001347,62.47,FUZZY,100.0,41.56,0.0,AUTO_APPROVE,False
APP000057,APP002306,59.77,FUZZY,70.0,69.23,20.0,AUTO_APPROVE,False
APP000058,APP005366,60.0,FUZZY,45.71,57.14,100.0,AUTO_APPROVE,False
APP000059,APP001221,67.92,FUZZY,100.0,59.74,0.0,AUTO_APPROVE,False
APP000060,APP001337,57.12,FUZZY,57.14,45.16,75.0,AUTO_APPROVE,False
APP000061,APP002694,56.79,FUZZY,76.92,61.11,0.0,AUTO_APPROVE,False
APP000062,APP007593,54.65,FUZZY,80.0,35.48,20.0,AUTO_APPROVE,False
APP000063,APP007543,64.74,FUZZY,100.0,49.12,0.0,AUTO_APPROVE,False
APP000064,APP006587,97.06,FUZZY,94.12,100.0,100.0,AUTO_REJECT,True
APP000065,APP009976,65.45,FUZZY,100.0,51.52,0.0,AUTO_APPROVE,False
APP000066,APP001900,66.8,FUZZY,100.0,42.67,20.0,AUTO_APPROVE,False
APP000067,APP001637,100.0,EXACT_PAN,94.74,100.0,75.0,AUTO_REJECT,True
APP000068,APP009375,69.16,FUZZY,62.86,59.09,100.0,AUTO_APPROVE,False
APP000069,APP005398,59.41,FUZZY,58.82,100.0,0.0,AUTO_APPROVE,False
APP000070,APP008241,64.81,FUZZY,100.0,49.38,0.0,AUTO_APPROVE,False
APP000071,APP008638,62.17,FUZZY,100.0,40.58,0.0,AUTO_APPROVE,False
APP000072,APP000869,64.59,FUZZY,100.0,35.29,20.0,AUTO_APPROVE,False
APP000073,APP005489,61.58,FUZZY,63.16,100.0,0.0,AUTO_APPROVE,False
APP000074,APP001897,100.0,FUZZY,100.0,100.0,100.0,AUTO_REJECT,True
APP000075,APP000973,56.36,FUZZY,72.73,53.33,20.0,AUTO_APPROVE,False
APP000076,APP005116,63.24,FUZZY,66.67,86.36,20.0,AUTO_APPROVE,False
APP000077,APP003480,100.0,EXACT_PAN,100.0,100.0,75.0,AUTO_REJECT,True
APP000078,APP003682,69.12,FUZZY,83.87,77.27,20.0,AUTO_APPROVE,False
APP000079,APP004882,65.0,FUZZY,70.0,100.0,0.0,AUTO_APPROVE,False
APP000080,APP006723,64.36,FUZZY,62.5,60.38,75.0,AUTO_APPROVE,False
APP000081,APP009910,63.87,FUZZY,86.49,68.75,0.0,AUTO_APPROVE,False
APP000082,APP003662,68.48,FUZZY,81.25,42.86,75.0,AUTO_APPROVE,False
APP000083,APP009183,97.0,EXACT_PHONE,97.3,100.0,100.0,AUTO_REJECT,True
APP000084,APP008293,58.12,FUZZY,63.16,38.46,75.0,AUTO_APPROVE,False
APP000085,APP005035,63.07,FUZZY,66.67,49.12,75.0,AUTO_APPROVE,False
APP000086,APP008824,68.53,FUZZY,100.0,61.76,0.0,AUTO_APPROVE,False
APP000087,APP003209,56.27,FUZZY,84.85,46.15,0.0,AUTO_APPROVE,False
APP000088,APP000348,62.41,FUZZY,100.0,41.38,0.0,AUTO_APPROVE,False
APP000089,APP008465,65.21,FUZZY,100.0,50.7,0.0,AUTO_APPROVE,False
APP000090,,0.0,NO_MATCH,0.0,0.0,0.0,AUTO_APPROVE,False
APP000091,APP000908,97.0,EXACT_PHONE,100.0,100.0,100.0,AUTO_REJECT,True
APP000092,APP002920,61.82,FUZZY,63.64,100.0,0.0,AUTO_APPROVE,False
APP000093,APP001064,93.28,FUZZY,96.55,100.0,75.0,AUTO_REJECT,True
APP000094,APP003628,60.14,FUZZY,84.85,45.71,20.0,AUTO_APPROVE,False
APP000095,APP008275,54.82,FUZZY,59.26,33.96,75.0,AUTO_APPROVE,False
APP000096,APP005597,100.0,EXACT_PAN,100.0,100.0,100.0,AUTO_REJECT,True
APP000097,APP009773,100.0,EXACT_PAN,94.74,100.0,100.0,AUTO_REJECT,True
APP000098,APP002150,98.84,FUZZY,97.67,100.0,100.0,AUTO_REJECT,True
APP000099,APP006155,62.94,FUZZY,100.0,43.14,0.0,AUTO_APPROVE,False
APP000100,APP007896,59.54,FUZZY,83.87,45.33,20.0,AUTO_APPROVE,False
APP000101,APP007251,100.0,EXACT_PAN,100.0,100.0,75.0,AUTO_REJECT,True
APP000102,APP002540,92.22,FUZZY,94.44,100.0,75.0,AUTO_REJECT,True
APP000103,APP001535,67.26,FUZZY,100.0,57.53,0.0,AUTO_APPROVE,False
APP000104,APP008004,70.55,FUZZY,68.75,70.59,75.0,AUTO_APPROVE,False
APP000105,APP000022,61.22,FUZZY,60.0,54.05,75.0,AUTO_APPROVE,False
APP000106,APP005731,62.68,FUZZY,100.0,42.25,0.0,AUTO_APPROVE,False
